"";"OB_0";"OB_1";"OB_3";"OB_7";"OB_10";"OB_12";"OB_14";"OB_16";"OB_17";"OB_24";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_30";"OB_32";"OB_33";"OB_35";"OB_36";"OB_40";"OB_41";"OB_47";"OB_52";"OB_58";"OB_60";"OB_62";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_70";"OB_71";"OB_74";"OB_79";"OB_80";"OB_82";"OB_85";"OB_87";"OB_88";"OB_90"
"OB_40";-0,00317613;-0,0022663;0,0289098;-0,0314982;-0,0189937;0,00704841;-0,00505978;0,015471;0,0141805;-0,0322262;-0,0155699;0,01206;0,00775037;-0,0355906;0,00132639;-0,0160616;0,0107404;-0,0115775;-0,00283819;0,0205084;0;0,0120174;-0,0273961;-0,0199706;-0,0157596;-0,0364576;-0,020976;-0,0295468;-0,0259666;-0,000555541;-0,00191291;-0,00491313;0,0183993;-0,00171776;-0,0111441;-0,00793032;-0,0225441;-0,0486955;-0,0520551;-0,0315381;-0,00978259;-0,0215125
"OB_41";0,012074;-0,0109987;-0,00487818;-0,0405098;-0,01957;-0,000559793;0,00390456;0,00298952;0,0043228;0,0308474;0,0259141;0,033629;0,014578;-0,0530713;0,00265837;-0,00956738;-0,0133064;-0,015812;0,0528205;-0,00435413;0,0120174;0;-0,000408527;0,000529319;-0,0132305;-0,0561313;-0,0146365;-0,0315063;0,00659887;0,0054596;-0,034761;-0,0213551;-0,00625486;-0,0256645;-0,0502855;-0,0397018;0,0125034;-0,0394142;-0,0247135;0,0343708;-0,0170041;0,0300944
"OB_47";-0,00122046;0,0112689;0,0278909;-0,030151;-0,0103987;-0,0313156;0,00184669;-0,0286008;-0,0371006;-0,000775247;-0,00706058;0,00282412;-0,0154707;-0,0484892;0,0396564;0,00158552;0,0147268;-0,00731712;0,0304726;-0,0106672;-0,0273961;-0,000408527;0;-0,00208963;-0,0326574;-0,02152;-0,00527917;-0,0184974;-0,0142231;-0,0102022;-0,0243131;-0,00226609;-0,0205258;-0,00710038;-0,0149527;-0,0130454;-0,0197292;-0,0210203;-0,0126528;-0,0049831;-0,0291082;-0,00618243
"OB_52";-0,0270136;0,013751;-0,0265814;-0,000482886;-0,0241246;-0,00711254;-0,0162903;-0,00914764;-0,0396474;-0,014907;0,00818643;-0,0232486;0,00339861;0,01385;-0,0144022;-0,00382581;-0,0233451;-0,000282106;-0,0279223;-0,0311351;-0,0199706;0,000529319;-0,00208963;0;0,0145513;-0,0293178;0,0278779;-0,0150258;-0,0165699;-0,00171904;-0,0237918;-0,0101025;-0,00102735;0,00823986;-0,0246613;-0,0238381;-0,0113994;-0,0400396;-0,0351798;-0,0122825;-0,0608586;0,0087502
"OB_58";-0,0166311;0,013416;-0,0175307;-0,0330957;-0,00805472;-0,0156097;-0,0156434;-0,0136284;0,0298552;-0,0018377;0,0210229;-0,0187591;0,0104094;-0,0209664;-0,00931624;0,00558366;-0,0349049;-0,0223223;-0,0203665;-0,0165277;-0,0157596;-0,0132305;-0,0326574;0,0145513;0;-0,0448522;-0,025217;-0,0403582;-0,0428569;-0,0118552;-0,0330194;-0,0333818;-0,00293303;-0,00941799;-0,0393265;-0,0287193;-0,0333512;-0,0413343;-0,0460685;-0,00466569;-0,0373928;-0,0319544
"OB_60";-0,031962;-0,034225;-0,0417042;-0,0469875;-0,0264136;-0,0270479;-0,0422389;-0,0375751;0,00818203;-0,0414858;-0,0235458;-0,00468297;-0,027445;-0,0400869;-0,0413368;-0,0270827;-0,0268739;0,00378735;-0,0431538;-0,0336801;-0,0364576;-0,0561313;-0,02152;-0,0293178;-0,0448522;0;0,0154323;0,047696;0,0103433;-0,0126076;-0,0184058;0,0123686;-0,0131221;-0,0191723;-0,0362227;-0,0133094;-0,0347939;0,0434575;0,0533155;-0,0154876;0,0120951;-0,015862
"OB_62";-0,021722;-0,0259529;-0,0297494;-0,0281606;0,0443455;-0,0337955;-0,0143545;-0,037987;-0,0172269;-0,0168619;-0,0161016;-0,0424206;0,00464438;-0,0082839;-0,0298137;-0,0178693;-0,000958691;-0,0135806;-0,0302929;-0,0249786;-0,020976;-0,0146365;-0,00527917;0,0278779;-0,025217;0,0154323;0;0,0115889;0,0242317;-0,00399939;-0,0121567;0,00151478;-0,00186803;-0,00380912;-0,0146884;0,0375996;0,00710313;-0,0179261;-0,0240814;-0,0314111;-0,0423093;-0,0332589
"OB_64";-0,0278282;-0,0320409;-0,0187107;-0,000824954;-0,017438;-0,0223234;-0,0328238;-0,00950291;-0,0320973;-0,015633;-0,0422138;-0,0324893;-0,0318649;-0,01852;-0,0268997;-0,0199056;-0,0375758;-0,012224;-0,0499472;-0,0358399;-0,0295468;-0,0315063;-0,0184974;-0,0150258;-0,0403582;0,047696;0,0115889;0;-0,00385757;-0,01033;-0,00486299;0,0543949;-0,0227246;-0,0169872;-0,00623625;-0,0183659;-0,0221532;0,044934;-0,0336702;-0,0144451;-0,0418242;-0,0278229
"OB_65";-0,0215482;-0,0238223;-0,022933;-0,0431632;0,0220731;-0,0342229;-0,0384367;-0,0199719;-0,0371268;-0,0253098;-0,0219988;-0,0238242;-0,0279355;-0,0275069;-0,0180066;-0,0326428;0,0244215;0,0014914;-0,00426611;-0,0319207;-0,0259666;0,00659887;-0,0142231;-0,0165699;-0,0428569;0,0103433;0,0242317;-0,00385757;0;0,0231756;-0,0205208;-0,0147561;0,00597951;0,018739;0,00267452;-0,00314612;-0,0244277;0,0445675;-0,0256043;-0,0122783;-0,0418627;-0,0197733
"OB_66";-0,0421496;-0,0314963;-0,0292135;-0,0285631;-0,0396254;-0,0189435;0,0317604;-0,0176584;-0,0308253;-0,0312132;-0,0118271;-0,0102252;-0,0185866;-0,0374699;-0,0145656;-0,031262;-0,0336121;-0,0246079;-0,025124;-0,0118004;-0,000555541;0,0054596;-0,0102022;-0,00171904;-0,0118552;-0,0126076;-0,00399939;-0,01033;0,0231756;0;-0,0229078;-0,0114326;0,00307264;0,0181237;0,00590471;-0,0133373;-0,0092739;0,025623;-0,045417;-0,0225285;-0,017143;0,0461797
"OB_68";-0,0475312;-0,0462801;-0,0333588;-0,0369412;-0,04821;-0,0449435;-0,0390556;-0,049768;-0,0487124;-0,0349963;-0,00027065;-0,0202298;-0,02773;0,0341608;-0,0598728;-0,0316689;-0,0126058;-0,0116765;-0,0550987;-0,0346138;-0,00191291;-0,034761;-0,0243131;-0,0237918;-0,0330194;-0,0184058;-0,0121567;-0,00486299;-0,0205208;-0,0229078;0;-0,00866649;-0,0129085;-0,00924701;0,0103952;-0,0565485;0,0190523;-0,0497396;-0,00864515;-0,0137062;-0,0305114;-0,0297709
"OB_69";-0,000480668;-0,0135938;-0,0324447;-0,0389467;0,0343045;-0,0195394;-0,0338466;-0,0216574;-0,0184365;-0,0385758;-0,0398021;-0,0338948;-0,0150879;-0,0317683;-0,0178288;-0,0166294;-0,00498852;0,00490896;-0,0133164;-0,0144276;-0,00491313;-0,0213551;-0,00226609;-0,0101025;-0,0333818;0,0123686;0,00151478;0,0543949;-0,0147561;-0,0114326;-0,00866649;0;-0,0111869;-0,00382068;-0,00764249;-0,0434288;-0,0279448;-0,00367863;-0,0306581;-0,0392765;-0,0332333;-0,0216933
