"";"OB_0";"OB_1";"OB_2";"OB_4";"OB_5";"OB_9";"OB_10";"OB_11";"OB_15";"OB_16";"OB_19";"OB_20";"OB_22";"OB_25";"OB_26";"OB_27";"OB_28";"OB_29";"OB_31";"OB_33";"OB_35";"OB_36";"OB_37";"OB_39";"OB_40";"OB_41";"OB_43";"OB_45";"OB_47";"OB_50";"OB_51";"OB_52";"OB_53";"OB_55";"OB_56";"OB_57";"OB_60";"OB_61";"OB_62";"OB_63";"OB_64";"OB_65";"OB_66";"OB_68";"OB_69";"OB_71";"OB_72";"OB_74";"OB_78";"OB_80";"OB_82";"OB_84";"OB_86";"OB_87";"OB_88";"OB_89";"OB_90"
"OB_40";-0,00317613;-0,0022663;-0,0371796;-0,0216035;0,00104781;-0,0131378;-0,0189937;0,0190796;-0,00738967;0,015471;-0,012427;0,000912228;-0,00890484;-0,0155699;0,01206;0,00775037;-0,0355906;0,00132639;-0,00380154;-0,0115775;-0,00283819;0,0205084;0,00676703;-0,014717;0;0,0120174;-0,00459051;0,00620137;-0,0273961;-0,0341315;-0,0422482;-0,0199706;-0,0215127;-0,0459497;-0,0389826;-0,0228535;-0,0364576;-0,044962;-0,020976;-0,00538422;-0,0295468;-0,0259666;-0,000555541;-0,00191291;-0,00491313;-0,00171776;-0,0205498;-0,0111441;-0,0111603;-0,0225441;-0,0486955;-0,0481969;-0,0578102;-0,0315381;-0,00978259;-0,0381886;-0,0215125
"OB_41";0,012074;-0,0109987;-0,0361016;-0,0354721;-0,0151928;0,0108292;-0,01957;0,00225034;-0,033429;0,00298952;0,0089684;0,0146722;0,0122457;0,0259141;0,033629;0,014578;-0,0530713;0,00265837;-0,00026352;-0,015812;0,0528205;-0,00435413;0,00341031;0,0152595;0,0120174;0;0,0408228;-0,0140353;-0,000408527;-0,0451071;-0,0092816;0,000529319;-0,0277469;-0,0366873;-0,0483033;-0,0339738;-0,0561313;-0,00566352;-0,0146365;0,00890364;-0,0315063;0,00659887;0,0054596;-0,034761;-0,0213551;-0,0256645;-0,0499687;-0,0502855;-0,0504293;0,0125034;-0,0394142;-0,0579671;-0,0253173;0,0343708;-0,0170041;-0,0310435;0,0300944
"OB_43";-0,0284627;-0,0409965;-0,0595986;-0,0507083;0,0036862;-0,0128063;-0,0450476;-0,0190628;0,051868;-0,0312654;-0,0323942;0,00221217;-0,0180683;0,0166988;-0,0295704;-0,00906348;-0,047608;-0,0211173;-0,030318;-0,0414359;0,0872962;-0,00876962;0,0369695;-0,00637829;-0,00459051;0,0408228;0;-0,0220682;0,0107959;-0,0376292;-0,0119462;-0,0148128;0,0631415;-0,0406892;-0,025874;-0,0238405;-0,0370578;-0,0450251;-0,0338719;0,00367819;-0,0584787;-0,00829013;-0,0262385;0,0231929;-0,0350427;-0,00373363;-0,0141667;-0,00676858;-0,0280561;-0,00506945;-0,0604129;-0,01147;-0,0274859;-0,0262468;-0,0314988;-0,0335214;-0,00207771
"OB_45";-0,0170492;0,00697018;-0,0455001;-0,0103397;0,0278333;-0,0137097;0,0398007;-0,0188666;-0,0353425;-0,00476319;0,0301867;-0,00815584;0,00371161;0,0488113;-0,0314005;-0,02997;-0,0205488;-0,0122943;0,0652287;-0,0379615;-0,021262;-0,000779562;-0,031166;-0,0145416;0,00620137;-0,0140353;-0,0220682;0;-0,0160105;-0,0363861;-0,0443376;-0,00556842;-0,0339286;-0,0174468;-0,0465125;-0,0333784;-0,0368553;-0,0302947;-0,00175279;-0,030309;-0,0321079;-0,0104107;0,0032846;-0,0213153;-0,0371218;-0,0141318;-0,0536656;-0,0308744;-0,00659951;-0,015975;-0,0537727;-0,061358;-0,0187431;-0,0282075;-0,0193808;-0,0111956;-0,0303151
"OB_47";-0,00122046;0,0112689;-0,0332085;-0,034798;-0,00825913;0,0729792;-0,0103987;-0,0333949;0,0187112;-0,0286008;-0,0114009;-0,0337457;-0,0176195;-0,00706058;0,00282412;-0,0154707;-0,0484892;0,0396564;0,0282067;-0,00731712;0,0304726;-0,0106672;0,00127101;-0,0255056;-0,0273961;-0,000408527;0,0107959;-0,0160105;0;-0,0468472;-0,0118616;-0,00208963;-0,0351526;-0,0334317;-0,0167531;-0,0469768;-0,02152;-0,0243473;-0,00527917;0,0193333;-0,0184974;-0,0142231;-0,0102022;-0,0243131;-0,00226609;-0,00710038;-0,0456678;-0,0149527;-0,0168151;-0,0197292;-0,0210203;-0,0346926;-0,0226089;-0,0049831;-0,0291082;0,00202547;-0,00618243
"OB_50";-0,0218646;-0,0350273;-0,00922842;-0,019399;-0,0337861;-0,02515;0,0506313;-0,00866727;-0,0126442;-0,0178625;-0,0358312;-0,0214506;-0,0406472;-0,00785259;-0,0236645;-0,0233176;-0,00142612;-0,0109679;-0,0252724;0,00210527;-0,0553549;-0,0178246;-0,0257324;-0,00655537;-0,0341315;-0,0451071;-0,0376292;-0,0363861;-0,0468472;0;-0,0287688;-0,029006;-0,0115067;-0,0172486;-0,0297579;-0,0392849;0,0843045;-0,0375326;-0,0237256;-0,0420758;0,0177552;-0,0143603;-0,0278668;-0,0307824;-0,0127924;-0,0355178;0,0749888;-0,0398792;-0,021581;-0,0514537;0,0617932;-0,0319199;-0,0215571;0,0163706;0,0873213;-0,0364398;-0,0335299
"OB_51";-0,0283803;-0,00394747;0,00621045;-0,0247995;0,0123124;-0,0198831;-0,0280325;-0,0219707;0,00838102;-0,022164;-0,00791915;-0,0101054;0,0142081;-0,0100648;-0,0205067;-0,00716128;0,0361906;-0,00407248;-0,0128779;0,0408954;-0,0142739;-0,0151508;-0,0181965;-0,0105537;-0,0422482;-0,0092816;-0,0119462;-0,0443376;-0,0118616;-0,0287688;0;0,0387189;0,096673;-0,0233752;-0,00199111;-0,0387736;-0,0267398;-0,0467797;-0,0102598;-0,0252265;-0,0287799;-0,00460927;-0,0257497;-0,0510232;-0,0167622;-0,0174102;-0,0143278;-0,0179881;-0,0251846;0,00970035;-0,0241767;0,0228202;-0,0416516;0,00335809;-0,0102869;-0,0187373;0,0161313
"OB_52";-0,0270136;0,013751;-0,0268577;0,0179593;-0,0264711;0,0127777;-0,0241246;-0,01845;-0,011631;-0,00914764;-0,0199102;-0,0497931;-0,0271966;0,00818643;-0,0232486;0,00339861;0,01385;-0,0144022;-0,00980727;-0,000282106;-0,0279223;-0,0311351;-0,0201854;-0,0245064;-0,0199706;0,000529319;-0,0148128;-0,00556842;-0,00208963;-0,029006;0,0387189;0;-0,00436925;0,0553749;0,00865024;-0,0123156;-0,0293178;-0,0112608;0,0278779;0,0207863;-0,0150258;-0,0165699;-0,00171904;-0,0237918;-0,0101025;0,00823986;-0,0389626;-0,0246613;-0,0229247;-0,0113994;-0,0400396;-0,0399826;-0,0333446;-0,0122825;-0,0608586;-0,0222806;0,0087502
"OB_53";-0,00119269;-0,0114095;-0,00872644;-0,0075638;-0,0190103;-0,0450948;0,0294527;0,00053839;0,0326414;-0,013214;-0,0260001;-0,0111678;-0,0287752;-0,0102857;-0,0297486;0,00851238;0,0316696;-0,0334819;-0,0378418;0,0082669;-0,0111447;-0,0229427;-0,0327757;-0,00914307;-0,0215127;-0,0277469;0,0631415;-0,0339286;-0,0351526;-0,0115067;0,096673;-0,00436925;0;-0,030968;0,0122406;-0,0307322;-0,0129501;-0,0252262;0,0169234;-0,0189601;-0,0262563;-0,0526337;-0,0460197;-0,023553;-0,0258087;-0,016109;0,029021;0,00120371;-0,0128421;0,00745136;-0,0630786;0,0158693;-0,0292858;-0,0159601;-0,0165034;-0,0311246;-0,00247632
"OB_55";-0,00327798;-0,00767689;0,0770611;-0,00362892;-0,0112425;-0,0182672;-0,0245464;-0,0420047;-0,0132726;-0,0227261;-0,00911977;-0,0302054;-0,0336719;-0,0343245;0,0206306;-0,0125621;-0,0139734;-0,04617;-0,0308262;0,0072498;-0,043661;-0,03399;-0,0026004;-0,0137864;-0,0459497;-0,0366873;-0,0406892;-0,0174468;-0,0334317;-0,0172486;-0,0233752;0,0553749;-0,030968;0;-0,000240396;0,0278662;0,121079;0,0110148;0,0190517;-0,0179467;0,0139385;0,0452651;-0,0143975;0,00226527;-0,00311649;-0,00284294;-0,052564;-0,0457712;-0,0342802;-0,027638;-0,0337137;-0,0342171;-0,00731789;-0,0351607;-0,0334681;-0,00397644;0,00612325
